name,brand,price,old_price
"Casti bluetooth Huawei FreeBuds Pro, In-Ear, Microfon, True wireless, Carcasa Incarcare Wireless, Noise Cancelling, Black",Huawei,899.9,
"Casti bluetooth Huawei FreeBuds Pro, In-Ear, True wireless, Microfon, Carcasa Incarcare Wireless, Noise Cancelling, White",Huawei,899.9,
"Bratara fitness Huawei Band 4 Pro, Black",Huawei,349.9,
"Husa telefon Samsung S21 Ultra, silicon, Negru",Samsung,89.9,
"Smartwatch Huawei Watch GT2e, 46mm, Lava Red",Huawei,599.9,
"Smartwatch Huawei Watch GT2e, 46mm, Mint Green",Huawei,599.9,
"Smartwatch Huawei Watch GT 2 B19, 42mm, Champagne Gold",Huawei,749.9,
"Smartwatch Huawei Watch GT 2 Pro B19V, Gri",Huawei,999.9,"1.059,90"
"Smartwatch Huawei B09 Black, ecran Amoled, compatibil Android si iOS, Rezistent la apa 5 atm, Negru",Huawei,359.9,
"Bratara fitness Xiaomi Mi Band 4C, Fitness Monitor, senzor PPG, Negru",Xiaomi,79.9,
"Casti On-ear JBL Tune 510BT, Bluetooth, Microfon,  pana la 40 de ore de functionare, Alb",JBL,229.9,
"Casti On-ear JBL Tune 510BT, Bluetooth, Microfon,  pana la 40 de ore de functionare, Negru",JBL,229.9,
"Casti audio cu fir Tellur Pixy, Albastru",Tellur,23.9,
"Casti audio cu fir Tellur Pixy, Roz",Tellur,23.9,
"Casti in-ear cu fir Tellur Basic Lyric, microfon, Negru",Tellur,19.9,
Husa din silicon pentru casti Logic,Logic,23.9,
"Casti audio On-ear Philips TAH4105BK, cu fir, microfon, Negru",PHILIPS,149.9,
"Casti audio On-ear Philips TAH4105BL, cu fir, microfon, Albastru",PHILIPS,149.9,
"Casti audio On-ear Philips TAH4105RD, cu fir, microfon, Rosu",PHILIPS,149.9,
"Casti audio On-ear Philips TAH4105WT, cu fir, microfon, Alb",PHILIPS,149.9,
"Casti audio On-Ear Philips TAUH202BK, Bluetooth, Autonomie 15h, Negru",PHILIPS,179.9,
"Casti audio On-Ear Philips TAUH202WT, Bluetooth, Autonomie 15h, Alb",PHILIPS,179.9,
"Casti audio in ear Philips SHE3555RD, Microfon, Rosu",PHILIPS,40.9,
Suport auto bord Logic,Logic,24.9,
"Suport magnetic de telefon Tellur Basic MCM7, pentru ventilatie, negru",Tellur,19.9,
"Suport magnetic de telefon Tellur Basic MCM7, pentru ventilatie, rosu",Tellur,19.9,
"Suport magnetic de telefon pentru ventilatie Tellur MCM4, auriu",Tellur,14.9,
